"BULAN","TN","TX","TAVG","RH_AVG","RR","SS","FF_X","DDD_X","FF_AVG"
1,-0.200031955449918,-1.54155593597661,-1.5679022889966,1.25136028890053,-0.716091902592127,-1.34735931225097,-0.678544895623311,1.20066413789909,-1.14965448399113
2,0.0249580001724809,-2.00739645625039,-1.69192364916744,1.46467516547999,0.50602719629308,-1.5865623647264,0.343805209216112,1.50333411850112,-0.390173583357627
3,0.398191005689066,-0.335127124060368,-0.483483379117144,0.697640790471892,0.336787939410538,-0.534043246699669,-0.075537693435566,0.801715524877897,-0.425933894822433
4,1.04101323759736,0.382257166510659,0.777693719875218,0.406478984563583,0.94501233227625,0.158408865609088,-0.825393516828504,0.472743653587312,-1.30506155183978
5,1.85381474837741,0.901292021670174,1.79293112069727,0.0860838378014326,0.262625360649634,0.287296826412679,-0.959422134952878,-0.0526832266814313,-0.688176178897679
6,0.184129322497633,0.295143077367,0.163605506963336,0.195987500000968,-0.395007035175932,0.448635351362251,-1.3151856226636,-0.741084506509234,-1.15496744455162
7,-1.26439184399,0.246898099746816,-0.362263816220514,-1.26456512591246,-1.40276368226486,1.0342184735882,-0.807504496567091,-1.54875287737103,0.0111365786363099
8,-1.48737528514051,0.851053540561364,-0.0010402923799054,-1.36178914484912,-1.66398853150203,1.25665738224836,-0.310319498213603,-0.863648720740342,1.23493390432079
9,-1.29005820968217,0.897503404795154,0.475656664434666,-1.53219439961243,-0.572096045007156,1.17750823900382,0.455853925481608,-1.4007056632083,1.43147089205489
10,-0.379017877296675,1.01355394752402,0.98442504168528,-0.698516807900666,0.71817960717723,0.602431089208855,0.930311321992413,-0.208213732139609,0.532783026829277
11,0.589948793761761,0.182277485072792,0.322702665872937,0.285105346013473,1.84423458741717,-0.222145917403241,1.55986375497248,-0.0177727526700518,0.665607040841414
12,0.528820063463531,-0.885899226960643,-0.410401293647112,0.469733565042807,0.137080173318195,-1.27504538635297,1.68207364662194,0.854404044454576,1.23803569477759
