TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-01-2023,-,28.2,24.3,89,30.5,0,4,270,1,C 
02-01-2023,20.7,29.3,24.4,91,25,0,5,280,1,C 
03-01-2023,21,27.5,24.3,89,21.8,2.1,4,320,2,C 
04-01-2023,21.5,29.3,25.4,85,10.6,0,6,250,2,C 
05-01-2023,21.4,31.5,26,83,1.9,2.8,3,350,1,C 
06-01-2023,21,-,-,-,0,3.2,3,260,1,C 
08-01-2023,-,31.8,25.6,88,-,8.8,4,340,1,C 
09-01-2023,21,31.8,26.4,80,17,5.8,5,230,2,C 
10-01-2023,22,32.3,26.4,84,0,6.5,3,180,1,C 
11-01-2023,21.2,32.8,-,-,0.5,5.8,3,310,0,C 
12-01-2023,21,33.8,26.9,80,-,6,4,315,1,C 
13-01-2023,22,31.9,25.9,86,0.6,9.7,4,90,1,C 
14-01-2023,20.5,32.9,26.8,80,41.3,4.5,6,100,1,C 
15-01-2023,21.2,32.5,25.9,88,0.5,8.6,4,100,1,C 
16-01-2023,21.8,31.6,26,85,13,6.1,4,300,1,C 
17-01-2023,21.3,29.3,24.4,92,0,5.7,2,305,0,C 
18-01-2023,20.6,29.4,24.7,92,3.8,2.5,4,320,0,C 
19-01-2023,22,29.5,25.2,88,-,2.5,3,330,1,C 
20-01-2023,20.6,30.3,25.4,86,0,1,3,130,1,C 
21-01-2023,20.8,30.2,25,86,-,3.1,4,240,1,C 
22-01-2023,21.8,31.4,25.9,84,1.1,5.2,4,160,1,C 
23-01-2023,21.8,29.9,26.1,84,0.4,5,4,300,1,C 
24-01-2023,21.2,30.2,25.5,84,1,1.8,4,250,1,C 
25-01-2023,22,27.8,23.9,93,0.8,3.6,5,270,2,C 
26-01-2023,20,30.8,25,85,11,0,3,330,0,C 
27-01-2023,22,29.4,26.2,86,0.2,3.5,5,320,1,C 
28-01-2023,22.2,27.5,24.6,92,1.4,0.3,2,40,0,C 
29-01-2023,21.4,28.2,25.6,89,27.7,0,3,330,1,C 
30-01-2023,21.6,30,25.9,87,1,0.1,3,340,0,C 
31-01-2023,22.6,29.2,25.8,90,-,3.2,3,320,0,C 
01-02-2023,22.6,-,25.2,89,5.6,0.6,3,315,0,C 
02-02-2023,21.8,29.9,25.9,88,0.9,1.7,5,330,1,C 
03-02-2023,21.4,29.3,25.6,82,6.2,0,4,240,2,SW
04-02-2023,23.4,30.4,27.1,74,8888,0.4,4,270,1,C 
05-02-2023,21.2,32,26,76,-,0.2,6,250,2,C 
06-02-2023,-,31.6,26.7,78,-,7.5,4,250,1,C 
07-02-2023,22.8,32.3,-,-,0.6,2.2,3,340,1,C 
08-02-2023,22.2,30.1,26.1,79,-,5.3,5,280,2,C 
09-02-2023,21.4,30,26.2,73,5,1,15,252,2,C 
10-02-2023,22.4,30.6,26,81,4,2.1,4,250,1,C 
11-02-2023,-,29,25.9,89,0.5,4.4,5,290,2,C 
12-02-2023,21.1,27.4,23.3,94,51.6,0.5,4,230,1,C 
13-02-2023,20.8,30.3,23.9,88,10.4,0,9,250,1,C 
14-02-2023,21.6,29.3,25.1,84,4.1,2.8,5,250,2,C 
15-02-2023,21.8,31,24.9,85,5,0.5,5,300,2,C 
16-02-2023,21.2,29,24.9,88,4,3.9,4,230,1,C 
17-02-2023,21.6,29,24.7,93,4.3,0.5,4,320,1,C 
18-02-2023,21,31,25,90,33,2.1,10,150,1,C 
19-02-2023,20.8,30.8,25.4,88,13.7,6.2,3,90,1,C 
20-02-2023,21.2,32,25.9,82,0,2.8,5,270,1,C 
21-02-2023,21.9,29.4,25.8,86,1.3,7.6,6,310,1,C 
22-02-2023,22,26.7,24.5,94,0.5,4.5,4,190,0,C 
23-02-2023,22,28.5,25,92,13.2,0,3,310,1,C 
24-02-2023,22,28,25.4,92,16.2,1,3,320,0,C 
25-02-2023,22.6,28.4,25.3,92,12.8,0,2,340,0,C 
26-02-2023,21.4,28.2,24.6,93,9.1,1,3,340,0,C 
27-02-2023,21.4,28.9,25.2,90,45.2,0,3,290,1,C 
28-02-2023,22.5,30,25.1,89,11.1,1,13,270,2,C 
01-03-2023,21.1,28.4,24.9,90,7,3.4,4,300,1,C 
02-03-2023,21.1,27.2,23.9,95,15.8,0.2,3,270,0,C 
03-03-2023,20.4,32.3,26,82,20.5,0,3,270,2,C 
04-03-2023,21.2,29.1,24.3,88,1.1,6,4,250,2,C 
05-03-2023,21.3,30.5,25.2,87,13.8,1.6,5,20,1,C 
06-03-2023,20.4,32.8,26.1,82,0.3,5.3,4,240,1,C 
07-03-2023,20.4,31.6,25.5,84,-,8.4,5,320,1,C 
08-03-2023,20.2,30.2,24.7,88,8888,7.8,4,340,1,C 
09-03-2023,22,30.3,26.7,82,-,3.8,3,320,0,C 
10-03-2023,20.8,32.6,25,88,8888,5.5,6,60,1,C 
11-03-2023,22.2,31,25.2,89,32.5,6,2,40,0,C 
12-03-2023,23,30.6,26,87,14.2,4.4,3,340,1,C 
13-03-2023,21.7,32.5,25.2,88,-,3.4,4,340,1,C 
14-03-2023,23.1,32.4,25.7,89,35.7,8.4,4,310,1,C 
15-03-2023,-,28.4,25,90,1.2,2.7,2,20,0,C 
16-03-2023,22,31.2,25.6,84,8888,0.4,3,330,1,C 
17-03-2023,22,31.8,26.1,83,-,8.3,3,330,1,C 
18-03-2023,22.4,33.2,26.6,80,6,7.2,3,10,1,C 
19-03-2023,22.4,32.3,26.1,87,24,8.8,3,360,1,C 
20-03-2023,23,32.3,25.9,88,2.5,6.2,5,260,1,C 
21-03-2023,21.8,-,26.1,82,28.7,5.3,3,60,0,C 
22-03-2023,24,33.2,27.4,82,2.7,7.2,4,30,1,C 
23-03-2023,24.6,33.2,28.2,83,0.2,-,4,50,1,C 
24-03-2023,24.4,33.1,26.1,90,2.1,4.6,12,250,1,C 
25-03-2023,22.2,32,25.4,90,68.5,6.5,8,220,1,C 
26-03-2023,23.5,31.9,25.9,90,9.3,4.1,8,250,1,C 
27-03-2023,22.4,31.2,25.2,90,5.7,5.5,3,100,1,C 
28-03-2023,23.1,30.8,-,-,30,2.7,4,360,1,C 
29-03-2023,23,32.1,26.1,86,-,3.7,4,315,1,C 
30-03-2023,22.5,32,26.2,82,0.3,4.6,5,250,2,C 
31-03-2023,22.8,32.3,26.9,83,3.7,7.4,4,350,1,C 
01-04-2023,23.8,28.8,26.1,82,-,4.6,3,220,0,C 
02-04-2023,23.1,32.4,26.2,84,1.7,1.8,4,360,0,C 
04-04-2023,21.6,32.6,26.4,81,-,9,3,140,1,C 
05-04-2023,21.2,33.6,27.5,74,-,6.9,3,300,1,C 
06-04-2023,21.9,32.3,26.9,74,-,9.6,3,310,1,C 
07-04-2023,21.8,33.8,26.4,78,-,6.5,5,150,1,C 
08-04-2023,22.6,-,-,-,-,9.8,2,170,0,C 
09-04-2023,23.3,33.1,-,-,-,7.5,4,310,1,C 
10-04-2023,-,31.5,26.4,86,8888,8.4,3,240,1,C 
11-04-2023,22.2,31.4,25.9,85,-,2.9,4,280,0,C 
12-04-2023,22.1,33.6,26.4,85,2.5,5.1,3,220,1,C 
13-04-2023,22.4,32,26.4,82,9.3,6.4,2,40,1,C 
14-04-2023,-,33.4,26.5,83,-,3.6,5,270,2,C 
15-04-2023,22.7,33.6,27.6,79,0.5,5.7,4,250,1,C 
16-04-2023,24,32,27,84,1,9.2,5,270,1,C 
17-04-2023,23.8,34.2,27.6,80,8888,4.5,4,10,1,C 
18-04-2023,-,32.3,27.3,84,-,8.8,3,50,1,C 
19-04-2023,23.6,33.7,26.5,88,42.5,3.4,12,160,1,C 
20-04-2023,23.6,32.6,27,88,42.3,3.3,4,240,1,C 
21-04-2023,22.2,32.6,26.5,86,17,5.7,4,260,1,C 
22-04-2023,23,32.8,27.1,84,40.5,6,3,50,1,C 
23-04-2023,22.5,33.3,26.3,89,76,8.3,8,280,1,C 
24-04-2023,22.6,33.7,26.1,88,69,6.9,5,260,1,C 
25-04-2023,22.8,31.2,25.6,90,7.5,8,4,330,1,C 
26-04-2023,23.2,33.2,26.6,87,1,4.6,3,360,1,C 
27-04-2023,23.2,32.7,26.5,86,-,7.3,3,100,1,C 
28-04-2023,24.2,-,27.4,86,2,7.4,5,10,1,C 
29-04-2023,24,32,27.5,84,-,4.7,3,340,0,C 
30-04-2023,24.2,32.5,27.4,84,0,3.6,4,160,1,C 
01-05-2023,-,31.6,27.5,84,0,6.1,3,320,0,C 
02-05-2023,24.2,33.6,27.1,85,0,4.1,4,40,1,C 
03-05-2023,24.2,33.4,26.3,90,11.6,7.5,5,30,1,C 
04-05-2023,24.2,32.5,26.8,88,68.1,4.8,6,160,1,C 
05-05-2023,24.6,33.8,27.3,86,8888,5.5,4,270,1,C 
06-05-2023,24.4,33.6,27.3,84,0.2,7.2,4,190,1,C 
07-05-2023,23.6,32.8,26.5,90,-,4.4,3,120,1,C 
08-05-2023,23.8,31.7,26.3,90,58.8,4.8,2,320,0,C 
09-05-2023,23.2,32.6,28.2,80,26.9,3.3,2,80,0,C 
10-05-2023,23.1,33.6,28.3,80,0,6.9,4,360,1,C 
11-05-2023,24.2,31.4,26.8,86,-,8.5,5,60,1,C 
12-05-2023,24.4,33.2,28.4,76,-,3.9,7,45,2,C 
13-05-2023,24,34.6,26.7,87,-,10.5,3,330,1,C 
14-05-2023,22.6,34.3,27.5,74,12.8,7.9,2,50,1,C 
15-05-2023,22.4,32.6,26.9,79,0,7,3,50,1,C 
16-05-2023,22.8,33.4,27.2,74,-,8.7,3,300,1,C 
17-05-2023,22.7,33.4,26.8,78,0,7.8,4,330,1,C 
18-05-2023,24.3,31.2,27.1,80,-,8.8,2,320,0,C 
19-05-2023,-,33,26.8,84,-,1.8,7,40,1,C 
20-05-2023,24.4,32.4,27.6,82,0.2,3.1,4,35,0,C 
21-05-2023,24.2,33.2,26.9,86,1,3.6,3,200,0,C 
22-05-2023,23,33.3,26.4,83,3,0,4,310,1,C 
23-05-2023,23.9,33,27.2,79,1.3,8.9,4,20,1,C 
24-05-2023,23.6,32.8,27,82,0,7.6,2,330,0,C 
25-05-2023,23.4,34,25.9,84,0,6.5,3,60,0,C 
26-05-2023,23,33.2,27.5,80,55,7.8,3,350,0,C 
27-05-2023,23.4,31.3,26.6,87,26.5,7.1,4,270,0,C 
28-05-2023,24,32.4,27.1,82,-,4.7,3,230,1,C 
29-05-2023,23.8,32.4,27.1,84,-,8.2,3,190,0,C 
30-05-2023,23.9,33.6,26.7,82,0,5.4,3,40,1,C 
31-05-2023,22.1,33.8,27.4,76,28.8,9,3,340,1,C 
01-06-2023,22.4,33.4,26.8,76,-,8.6,4,340,1,C 
02-06-2023,23.4,33.8,27.4,81,-,9.5,3,320,1,C 
03-06-2023,24.4,33,27.7,83,8888,8,3,310,1,C 
04-06-2023,23.9,32.6,26.6,84,59.3,5.7,4,350,1,C 
05-06-2023,23.8,33.8,26.1,86,0.3,8.4,3,260,1,C 
06-06-2023,23.8,29.4,25.7,91,34.2,7.4,4,230,1,C 
07-06-2023,22.4,32.2,26.7,83,0.4,0.8,2,190,1,C 
08-06-2023,22.6,32.2,26.9,82,3.5,8.7,4,40,1,C 
09-06-2023,22.4,32.8,26.5,81,0,7.2,6,150,1,C 
10-06-2023,22.4,32.4,26.1,86,13.3,9.4,3,40,0,C 
11-06-2023,22.4,33.3,26.8,78,-,8.3,3,360,0,C 
12-06-2023,22.6,32.6,27.5,79,-,9.6,4,40,1,C 
13-06-2023,23.5,33.4,26.9,84,-,8.6,5,300,1,C 
14-06-2023,23.8,31.4,25.4,89,15.7,5.6,3,340,0,C 
15-06-2023,22.1,32.2,27.2,81,16.5,3.9,5,50,1,C 
16-06-2023,24.4,29,24.5,95,2.6,6.1,2,160,0,C 
17-06-2023,22.4,30,25.9,86,10.1,0,4,80,0,C 
18-06-2023,23.3,32.4,26.3,86,-,0.4,4,320,1,C 
19-06-2023,23,33,25.7,91,73.7,9.4,2,190,0,C 
20-06-2023,22.2,33.4,26.9,80,15.1,5.7,3,30,0,C 
21-06-2023,23.6,33,26.8,84,-,9.6,4,210,1,C 
