TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-01-2024,23.6,31.3,27.5,85,16.4,3.9,4,10,1,C 
02-01-2024,23.6,32.8,27.2,86,1.5,2.3,3,45,0,C 
03-01-2024,24.4,29.8,26.4,90,13.7,2.2,3,260,1,C 
04-01-2024,24.2,31.6,25.6,91,1,0.4,4,170,1,C 
05-01-2024,23.8,32.3,27.2,82,5.2,1.3,3,330,1,C 
06-01-2024,23.2,32.6,26.1,87,0,3.8,5,240,1,C 
07-01-2024,23.5,31.6,25.3,90,2.8,4.5,8,70,2,C 
08-01-2024,23,31.7,26.1,87,19,5.1,8,330,1,C 
09-01-2024,23.3,33.5,27.5,82,3.9,5.4,10,310,1,C 
10-01-2024,23.6,33,26.2,88,3.5,7.1,14,270,1,C 
11-01-2024,-,32.8,25.7,92,35,5.4,5,20,0,C 
12-01-2024,23.5,30.8,26,88,20.8,3.3,7,270,1,C 
13-01-2024,22.8,33.6,26.4,85,-,1.8,6,10,1,C 
14-01-2024,22.9,32.5,26.5,85,10.6,4.7,14,360,2,C 
15-01-2024,23,31.8,27.2,82,7,6.8,2,320,0,C 
16-01-2024,23,32.5,27.6,80,-,4.8,3,130,0,C 
17-01-2024,24.5,30.4,25.5,91,-,6.7,11,180,1,C 
18-01-2024,23.4,30.2,26.5,86,3.7,2.1,5,335,1,C 
19-01-2024,23.4,32.9,23.7,94,26.9,0.6,4,200,0,C 
20-01-2024,21.4,33.2,27,70,32.5,0,12,235,3,C 
21-01-2024,22,31,25.9,88,-,10.1,2,260,0,C 
22-01-2024,23.1,32.5,27.2,73,6,4.2,10,200,2,C 
23-01-2024,23.6,30.7,26.4,81,2.6,3.7,5,255,1,C 
24-01-2024,22.1,30.9,26.3,83,0.5,1.4,6,150,1,C 
25-01-2024,22.3,32.6,27.9,79,19.5,2.6,4,20,1,C 
26-01-2024,24,32.2,27.1,84,-,9.2,5,315,1,C 
27-01-2024,24.1,27.2,25.1,94,3.7,6.3,5,280,1,C 
28-01-2024,23.5,29.3,24.9,92,32.9,0,10,20,2,C 
29-01-2024,22.8,28.6,25.5,92,65.7,1.3,4,20,1,C 
30-01-2024,22.9,28.8,25.4,92,8.7,0.2,10,200,1,C 
31-01-2024,23,31,25.2,90,50.7,0.2,6,300,1,C 
01-02-2024,22.2,31.1,25.4,89,1.3,4.5,10,190,2,C 
02-02-2024,22.1,33.3,27.2,82,24.3,4.7,11,30,2,C 
03-02-2024,24,30.7,25.6,90,10.5,8.8,9,325,2,C 
04-02-2024,23.4,31.8,26.2,86,1.7,3.5,11,230,2,C 
05-02-2024,23,31.4,26.5,84,4.2,1,4,270,1,C 
06-02-2024,23.4,29.8,24.6,91,1.5,5.2,6,300,1,C 
07-02-2024,22.3,30.7,25,90,3.2,0.5,8,180,1,C 
08-02-2024,21,34.4,27.4,78,25,3.3,5,10,1,C 
09-02-2024,21.2,32,28.3,77,8888,8,8,20,2,C 
