TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-01-2021,18.6,24,20.4,89,1.3,0,3,330,0,C 
02-01-2021,18.6,25,21.4,86,14,0.5,4,330,1,C 
03-01-2021,18.8,26.6,21.9,79,21.6,1.5,2,260,0,C 
04-01-2021,19,24.5,20.9,87,2,2.5,3,300,0,C 
05-01-2021,18.8,24.6,20,93,8,0,4,320,0,C 
06-01-2021,18.8,24.3,20.6,93,3.6,0,2,280,0,C 
07-01-2021,19.2,24,21.1,88,23.8,0.5,3,300,1,C 
08-01-2021,19.2,24.1,21.6,88,2.4,1.3,2,310,0,C 
09-01-2021,19.2,24.2,20,93,3.2,0.8,3,310,0,C 
10-01-2021,18.8,23.9,21.3,88,40.9,0.2,1,300,0,C 
11-01-2021,-,23.5,21.1,90,2,0,2,290,0,C 
12-01-2021,-,22.7,20.4,94,0,0.2,4,320,0,C 
13-01-2021,18.8,24,20.7,89,21.7,0,3,280,1,C 
14-01-2021,18.8,23,20.6,94,0.8,1.5,3,290,1,C 
15-01-2021,18.8,24.6,21.1,88,6.8,0.1,2,340,0,C 
16-01-2021,17.7,26.4,21.8,81,0,0.5,2,210,0,C 
17-01-2021,-,25,20.6,86,0,1.5,3,310,0,C 
18-01-2021,-,22,19.7,95,8888,0.5,4,320,2,NW
19-01-2021,17.4,19.4,18.3,98,70,0,4,300,0,C 
20-01-2021,17.4,20.5,19.7,98,29.9,0,2,260,0,C 
21-01-2021,19,21.4,20.2,98,12,0,3,330,0,C 
22-01-2021,19,23.2,20.7,91,11.4,0,4,330,0,C 
23-01-2021,19,25.2,21.3,81,0.3,0.1,1,290,0,C 
24-01-2021,-,22.2,19.8,93,0,3.3,3,300,0,C 
25-01-2021,18.6,24.9,21.2,88,20.1,0,4,300,1,C 
26-01-2021,18.5,23.7,20.6,91,8.7,2.3,2,280,1,C 
27-01-2021,-,22.8,20.7,86,2,2.2,4,340,1,C 
28-01-2021,19.2,23.6,19.7,94,1.8,0,3,300,0,C 
29-01-2021,18.8,23.7,19.6,94,45,0,3,300,0,C 
30-01-2021,18.6,20.3,19.3,97,5.2,0,3,320,1,C 
31-01-2021,19,20.5,19.5,98,25.5,0,3,320,1,C 
01-02-2021,18.8,22.5,20.4,92,3.1,0,3,330,0,C 
02-02-2021,19.3,22.4,20.5,96,3.3,1,3,290,0,C 
03-02-2021,-,22.7,19.8,97,17.3,0.4,3,260,0,C 
04-02-2021,19.2,21.5,19.5,98,13,0,4,290,0,C 
05-02-2021,18.9,21.6,19.9,97,50.7,0.1,3,270,0,C 
06-02-2021,19.2,21.2,20,97,57,0,4,270,1,C 
07-02-2021,19.2,21.1,19.6,100,104.4,0.3,0,0,0,C 
08-02-2021,19.3,22.2,20.5,96,124,0,5,270,0,C 
09-02-2021,19,22.5,20.1,96,14.7,0,2,270,0,C 
10-02-2021,19.5,22.6,20.8,93,4.8,0,2,270,0,C 
11-02-2021,18.2,26.2,20.8,88,10.3,0,4,320,1,C 
12-02-2021,19.1,25.5,21.5,86,0.8,6.6,5,310,1,C 
13-02-2021,18.7,23.6,20.7,94,5.7,7.8,2,320,0,C 
14-02-2021,19.4,23.9,21.4,93,0.3,1.9,4,310,0,C 
15-02-2021,19,23.8,21.1,92,7,0.1,3,310,0,C 
16-02-2021,19.4,23.7,20.6,96,7,1.3,2,310,0,C 
17-02-2021,18.6,24.7,20.7,89,10.1,0.7,2,310,1,C 
18-02-2021,18.8,25,20.9,87,0.9,1.8,5,320,1,C 
19-02-2021,18.4,19.4,18.7,99,26,2.8,4,290,1,C 
20-02-2021,18.2,20,19.4,98,59,0,6,330,2,N 
21-02-2021,18.6,22.2,20.2,94,40.7,0,2,270,0,C 
21-02-2021,18.6,22.2,20.2,94,40.7,0,2,270,0,C 
22-02-2021,18.8,25.4,21,91,0,0.5,4,330,1,C 
23-02-2021,17.2,26.2,20.8,78,31.7,4.5,5,360,1,W 
24-02-2021,17.6,23,20.8,90,5.2,6.9,3,330,1,C 
25-02-2021,19,22.4,20,96,22.5,0.2,4,340,1,C 
26-02-2021,17.8,23.4,20.7,90,66.2,0.1,3,290,0,C 
27-02-2021,18.6,24.6,21.4,88,1.4,1.8,3,320,0,C 
28-02-2021,19.2,27,22.5,78,0,1.7,3,330,0,C 
01-03-2021,20,27.9,23.2,76,8888,6.1,4,360,1,C 
02-03-2021,20.1,24.7,21.9,88,8888,6.4,3,300,0,C 
